"TOA5","CR200 Series","CR200X","27360","CR200X.Std.04","Sxxxx V1_09 test NPHK_P2_DYL_P2.CR2","56011","Informatie"
"TIMESTAMP","RECORD","Service_mode"
"TS","RN",""
"","","Smp"
"2017-12-01 16:40:00",0,7
"2017-12-01 16:50:00",1,8
