"TOA5","S6104","CR2xx","27363","CR200X.Std.04","Sxxxx V1_09 test DYL_P1.CR2","16978","DYL_test_P1_2"
"TIMESTAMP","RECORD","Perm_1_Avg","Period_1_Avg","VR_1_Avg","Perm_2_Avg","Period_2_Avg","VR_2_Avg","Perm_3_Avg","Period_3_Avg","VR_3_Avg"
"TS","RN","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-04-05 02:00:00",2987,27.71708,1.8955,1.188633,26.55992,1.8785,1.19545,27.43277,1.891,1.221733
"2018-04-05 03:00:00",2988,27.7171,1.8955,1.188633,26.55985,1.8785,1.195633,27.43265,1.891,1.222083
"2018-04-05 04:00:00",2989,27.71712,1.8955,1.1887,26.51317,1.877583,1.195483,27.43275,1.891,1.221733
"2018-04-05 05:00:00",2990,27.71712,1.8955,1.1884,26.50388,1.8774,1.19535,27.43285,1.891,1.221533
"2018-04-05 06:00:00",2991,27.71712,1.8955,1.188567,26.50392,1.8774,1.19525,27.43282,1.891,1.221583
"2018-04-05 07:00:00",2992,27.7171,1.8955,1.188683,26.50392,1.8774,1.195233,27.49032,1.8921,1.221833
"2018-04-05 08:00:00",2993,27.71707,1.8955,1.189017,26.50385,1.8774,1.195383,27.49025,1.8921,1.222083
"2018-04-05 09:00:00",2994,27.72663,1.895683,1.189233,26.5037,1.8774,1.195917,27.49032,1.8921,1.22185
"2018-04-05 10:00:00",2995,27.77455,1.8966,1.18935,26.50367,1.8774,1.19595,27.49018,1.8921,1.222233
"2018-04-05 11:00:00",2996,27.71701,1.8955,1.189533,26.50365,1.8774,1.19605,27.49005,1.8921,1.2227
"2018-04-05 12:00:00",2997,27.7649,1.896417,1.189933,26.50355,1.8774,1.196217,27.49008,1.8921,1.222617
"2018-04-05 13:00:00",2998,27.76492,1.896417,1.190017,26.50356,1.8774,1.196267,27.49002,1.8921,1.22275
"2018-04-05 14:00:00",2999,27.77448,1.8966,1.190117,26.44742,1.8763,1.1966,27.45155,1.891367,1.22295
"2018-04-05 15:00:00",3000,27.77445,1.8966,1.190433,26.44752,1.8763,1.1963,27.43232,1.891,1.223017
"2018-04-05 16:00:00",3001,27.77442,1.8966,1.190567,26.44738,1.8763,1.196767,27.43222,1.891,1.22335
"2018-04-05 17:00:00",3002,27.77442,1.8966,1.190633,26.44757,1.8763,1.196217,27.43218,1.891,1.223517
"2018-04-05 18:00:00",3003,27.77444,1.8966,1.190517,26.44733,1.8763,1.1969,27.4322,1.891,1.223417
"2018-04-05 19:00:00",3004,27.77438,1.8966,1.190717,26.42887,1.8759,1.196383,27.4322,1.891,1.223383
"2018-04-05 20:00:00",3005,27.77442,1.8966,1.190467,26.39149,1.8751,1.196433,27.43233,1.891,1.223033
"2018-04-05 21:00:00",3006,27.77444,1.8966,1.1905,26.40096,1.8753,1.196133,27.43242,1.891,1.2228
"2018-04-05 22:00:00",3007,27.77442,1.8966,1.19045,26.39163,1.8751,1.1961,27.43238,1.891,1.22285
"2018-04-05 23:00:00",3008,27.77444,1.8966,1.190367,26.39158,1.8751,1.196183,27.43253,1.891,1.2224
"2018-04-06 00:00:00",3009,27.77445,1.8966,1.190383,26.3917,1.8751,1.19595,27.43257,1.891,1.2223
"2018-04-06 01:00:00",3010,27.77444,1.8966,1.19025,26.39165,1.8751,1.196033,27.43258,1.891,1.222283
"2018-04-06 02:00:00",3011,27.77448,1.8966,1.18995,26.3918,1.8751,1.195617,27.43262,1.891,1.22215
"2018-04-06 03:00:00",3012,27.77445,1.8966,1.1902,26.38248,1.874917,1.19565,27.4327,1.891,1.221933
"2018-04-06 04:00:00",3013,27.7745,1.8966,1.19,26.33595,1.874,1.195417,27.43272,1.891,1.2219
"2018-04-06 05:00:00",3014,27.77444,1.8966,1.190333,26.33605,1.874,1.195183,27.43279,1.891,1.2217
"2018-04-06 06:00:00",3015,27.77447,1.8966,1.19015,26.33608,1.874,1.195083,27.40402,1.8904,1.2217
"2018-04-06 07:00:00",3016,27.77444,1.8966,1.1904,26.33612,1.874,1.195083,27.38497,1.89,1.221267
"2018-04-06 08:00:00",3017,27.77444,1.8966,1.19045,26.33608,1.874,1.195117,27.3754,1.8898,1.221283
"2018-04-06 09:00:00",3018,27.77442,1.8966,1.19055,26.29883,1.873267,1.1951,27.37542,1.8898,1.22115
"2018-04-06 10:00:00",3019,27.77442,1.8966,1.19055,26.28013,1.8729,1.195283,27.37532,1.8898,1.22145
"2018-04-06 11:00:00",3020,27.77442,1.8966,1.1906,26.28015,1.8729,1.195233,27.37537,1.8898,1.221317
"2018-04-06 12:00:00",3021,27.77438,1.8966,1.19065,26.28015,1.8729,1.195317,27.34662,1.88925,1.2214
"2018-04-06 13:00:00",3022,27.7744,1.8966,1.1906,26.2801,1.8729,1.195417,27.31777,1.8887,1.221667
