"TOA5","S6109","CR2xx","27364","CR200X.Std.04","Sxxxx V1_09 test DB_3&2.CR2","6471","DYL_test_p3_1"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","Temp_1_Avg","VWC_2_Avg","EC_2_Avg","Temp_2_Avg","VWC_3_Avg","EC_3_Avg","Temp_3_Avg","Battery_Vdc"
"TS","RN","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"2017-12-03 03:00:00",36,0.5462,0.2884167,17.12708,0.5561,0.6313166,16.99688,0.5914001,0.5433667,17.17225,12.89882
"2017-12-03 04:00:00",37,0.5458667,0.2881667,17.14535,0.5561,0.6317,17.00878,0.5914001,0.5425833,17.18417,12.90637
"2017-12-03 05:00:00",38,0.5457,0.2881667,17.14032,0.5556833,0.6316833,17.01745,0.5914001,0.5417167,17.18415,12.91225
"2017-12-03 06:00:00",39,0.5457,0.2882334,17.16313,0.5556,0.6322,17.00923,0.5914001,0.54135,17.18873,12.89882
"2017-12-03 07:00:00",40,0.5457,0.2884667,17.17458,0.5556,0.6318666,17.03527,0.5914001,0.5409667,17.1942,12.90301
"2017-12-03 08:00:00",41,0.5457,0.2883333,17.1668,0.55535,0.6323,17.0435,0.5912001,0.5400833,17.21385,12.89882
"2017-12-03 09:00:00",42,0.5457,0.2885833,17.18918,0.5551,0.6322667,17.04898,0.5907833,0.5392333,17.21885,12.90721
"2017-12-03 10:00:00",43,0.5457,0.2888833,17.16818,0.5551,0.6323333,17.0805,0.59075,0.5389,17.21065,12.88035
"2017-12-03 11:00:00",44,0.5457,0.28875,17.18553,0.5550167,0.6325167,17.09693,0.5907333,0.5382167,17.22525,12.90469
"2017-12-03 12:00:00",45,0.5457,0.2886167,17.20013,0.5546,0.6327,17.12482,0.5907167,0.5377,17.23165,12.89378
"2017-12-03 13:00:00",46,0.5457,0.2889,17.21018,0.5546,0.6332833,17.12481,0.5907,0.5369334,17.2344,12.90637
"2017-12-03 14:00:00",47,0.5457,0.28885,17.22297,0.5546,0.6331,17.13303,0.5907,0.5362333,17.24853,12.89294
"2017-12-03 15:00:00",48,0.5453,0.28905,17.21203,0.5546,0.6333167,17.13255,0.5907,0.5351833,17.24943,12.90889
"2017-12-03 16:00:00",49,0.5453,0.2889,17.21067,0.5545167,0.6335,17.1444,0.5907,0.53465,17.25035,12.8963
"2017-12-03 17:00:00",50,0.5453,0.28925,17.20973,0.5541,0.6341667,17.17457,0.5907,0.5344834,17.25492,12.90805
"2017-12-03 18:00:00",51,0.5453,0.2890667,17.22617,0.5541,0.6340833,17.17457,0.5907,0.5337667,17.2645,12.90889
"2017-12-03 19:00:00",52,0.5453,0.2892667,17.21885,0.5541,0.6346,17.18052,0.5907,0.5326334,17.25948,12.90301
"2017-12-03 20:00:00",53,0.5453,0.2892333,17.22892,0.5541,0.6343833,17.2056,0.5906833,0.5314333,17.27182,12.91393
"2017-12-03 21:00:00",54,0.5453,0.2893167,17.2385,0.5541,0.6341,17.22478,0.5906166,0.5307834,17.27547,12.9005
