"TOA5","CR200 Series","CR200X","27365","CR200X.Std.04","Sxxxx V1_10 NPHK_P1.CR2","41856","Informatie"
"TIMESTAMP","RECORD","Service_mode"
"TS","RN",""
"","","Smp"
"2017-11-16 10:40:00",0,7
"2017-11-16 10:50:00",1,8
