"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","lufft_ZB"
"TIMESTAMP","RECORD","Air_Temperature_Avg","Rel_Humidity_Avg","Rel_Air_Pressure_Avg","Wind_speed_Avg_","Wind_dir_vct","Wet_bulb_Temp_Avg","Prec_type_Tot","Prec_intensity_Avg","Dew_point_Avg","Battery_Vdc","Status_total_Tot"
"TS","RN","","","","","Deg","","","","","",""
"","","Avg","Avg","Avg","WVc:","WVc:","Avg","Tot","Avg","Avg","Smp","Tot"
"2018-12-19 17:15:00",50,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:20:00",51,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:25:00",52,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:30:00",53,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:35:00",54,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:40:00",55,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:45:00",56,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:50:00",57,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:55:00",58,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 18:00:00",59,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:05:00",60,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:10:00",61,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:15:00",62,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:20:00",63,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:25:00",64,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:30:00",65,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:35:00",66,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:40:00",67,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:45:00",68,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:50:00",69,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 18:55:00",70,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:00:00",71,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:05:00",72,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:10:00",73,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:15:00",74,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:20:00",75,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:25:00",76,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:30:00",77,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:35:00",78,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:40:00",79,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:45:00",80,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:50:00",81,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 19:55:00",82,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:00:00",83,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:05:00",84,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:10:00",85,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:15:00",86,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:20:00",87,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:25:00",88,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:30:00",89,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:35:00",90,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:40:00",91,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:45:00",92,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:50:00",93,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 20:55:00",94,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:00:00",95,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:05:00",96,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:10:00",97,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:15:00",98,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:20:00",99,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:25:00",100,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:30:00",101,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:35:00",102,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:40:00",103,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:45:00",104,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 21:50:00",105,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
