"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","druksonde_ZB_P1"
"TIMESTAMP","RECORD","Druk_Avg(1)","Druk_Avg(2)"
"TS","RN","",""
"","","Avg","Avg"
"2018-12-25 03:00:00",133,"NAN",0
"2018-12-25 04:00:00",134,"NAN",0
"2018-12-25 05:00:00",135,"NAN",0
"2018-12-25 06:00:00",136,"NAN",0
"2018-12-25 07:00:00",137,"NAN",0
"2018-12-25 08:00:00",138,"NAN",0
"2018-12-25 09:00:00",139,"NAN",0
"2018-12-25 10:00:00",140,"NAN",0
"2018-12-25 11:00:00",141,"NAN",0
"2018-12-25 12:00:00",142,"NAN",0
"2018-12-25 13:00:00",143,"NAN",0
"2018-12-25 14:00:00",144,"NAN",0
"2018-12-25 15:00:00",145,"NAN",0
"2018-12-25 16:00:00",146,"NAN",0
"2018-12-25 17:00:00",147,"NAN",0
"2018-12-25 18:00:00",148,"NAN",0
"2018-12-25 19:00:00",149,"NAN",0
"2018-12-25 20:00:00",150,"NAN",0
"2018-12-25 21:00:00",151,"NAN",0
"2018-12-25 22:00:00",152,"NAN",0
"2018-12-25 23:00:00",153,"NAN",0
"2018-12-26 00:00:00",154,"NAN",0
"2018-12-26 01:00:00",155,"NAN",0
"2018-12-26 02:00:00",156,"NAN",0
"2018-12-26 03:00:00",157,"NAN",0
"2018-12-26 04:00:00",158,"NAN",0
"2018-12-26 05:00:00",159,"NAN",0
"2018-12-26 06:00:00",160,"NAN",0
"2018-12-26 07:00:00",161,"NAN",0
"2018-12-26 08:00:00",162,"NAN",0
"2018-12-26 09:00:00",163,"NAN",0
"2018-12-26 10:00:00",164,"NAN",0
"2018-12-26 11:00:00",165,"NAN",0
"2018-12-26 12:00:00",166,"NAN",0
"2018-12-26 13:00:00",167,"NAN",0
"2018-12-26 14:00:00",168,"NAN",0
"2018-12-26 15:00:00",169,"NAN",0
"2018-12-26 16:00:00",170,"NAN",0
"2018-12-26 17:00:00",171,"NAN",0
"2018-12-26 18:00:00",172,"NAN",0
"2018-12-26 19:00:00",173,"NAN",0
"2018-12-26 20:00:00",174,"NAN",0
"2018-12-26 21:00:00",175,"NAN",0
"2018-12-26 22:00:00",176,"NAN",0
"2018-12-26 23:00:00",177,"NAN",0
"2018-12-27 00:00:00",178,"NAN",0
"2018-12-27 01:00:00",179,"NAN",0
"2018-12-27 02:00:00",180,"NAN",0
"2018-12-27 03:00:00",181,"NAN",0
"2018-12-27 04:00:00",182,"NAN",0
"2018-12-27 05:00:00",183,"NAN",0
"2018-12-27 06:00:00",184,"NAN",0
"2018-12-27 07:00:00",185,"NAN",0
"2018-12-27 08:00:00",186,"NAN",0
"2018-12-27 09:00:00",187,"NAN",0
"2018-12-27 10:00:00",188,"NAN",0
"2018-12-27 11:00:00",189,"NAN",0
"2018-12-27 12:00:00",190,"NAN",0
"2018-12-27 13:00:00",191,"NAN",0
"2018-12-27 14:00:00",192,"NAN",0
"2018-12-27 15:00:00",193,"NAN",0
"2018-12-27 16:00:00",194,"NAN",0
"2018-12-27 17:00:00",195,"NAN",0
"2018-12-27 18:00:00",196,"NAN",0
"2018-12-27 19:00:00",197,"NAN",0
"2018-12-27 20:00:00",198,"NAN",0
"2018-12-27 21:00:00",199,"NAN",0
"2018-12-27 22:00:00",200,"NAN",0
"2018-12-27 23:00:00",201,"NAN",0
"2018-12-28 00:00:00",202,"NAN",0
"2018-12-28 01:00:00",203,"NAN",0
"2018-12-28 02:00:00",204,"NAN",0
"2018-12-28 03:00:00",205,"NAN",0
"2018-12-28 04:00:00",206,"NAN",0
"2018-12-28 05:00:00",207,"NAN",0
"2018-12-28 06:00:00",208,"NAN",0
"2018-12-28 07:00:00",209,"NAN",0
"2018-12-28 08:00:00",210,"NAN",0
"2018-12-28 09:00:00",211,"NAN",0
"2018-12-28 10:00:00",212,"NAN",0
"2018-12-28 11:00:00",213,"NAN",0
"2018-12-28 12:00:00",214,"NAN",0
"2018-12-28 13:00:00",215,"NAN",0
"2018-12-28 14:00:00",216,"NAN",0
"2018-12-28 15:00:00",217,"NAN",0
"2018-12-28 16:00:00",218,"NAN",0
"2018-12-28 17:00:00",219,"NAN",0
"2018-12-28 18:00:00",220,"NAN",0
"2018-12-28 19:00:00",221,"NAN",0
"2018-12-28 20:00:00",222,"NAN",0
"2018-12-28 21:00:00",223,"NAN",0
"2018-12-28 22:00:00",224,"NAN",0
"2018-12-28 23:00:00",225,"NAN",0
"2018-12-29 00:00:00",226,"NAN",0
"2018-12-29 01:00:00",227,"NAN",0
"2018-12-29 02:00:00",228,"NAN",0
"2018-12-29 03:00:00",229,"NAN",0
"2018-12-29 04:00:00",230,"NAN",0
"2018-12-29 05:00:00",231,"NAN",0
"2018-12-29 06:00:00",232,"NAN",0
"2018-12-29 07:00:00",233,"NAN",0
"2018-12-29 08:00:00",234,"NAN",0
"2018-12-29 09:00:00",235,"NAN",0
"2018-12-29 10:00:00",236,"NAN",0
"2018-12-29 11:00:00",237,"NAN",0
"2018-12-29 12:00:00",238,"NAN",0
"2018-12-29 13:00:00",239,"NAN",0
"2018-12-29 14:00:00",240,"NAN",0
"2018-12-29 15:00:00",241,"NAN",0
"2018-12-29 16:00:00",242,"NAN",0
"2018-12-29 17:00:00",243,"NAN",0
"2018-12-29 18:00:00",244,"NAN",0
"2018-12-29 19:00:00",245,"NAN",0
"2018-12-29 20:00:00",246,"NAN",0
"2018-12-29 21:00:00",247,"NAN",0
"2018-12-29 22:00:00",248,"NAN",0
"2018-12-29 23:00:00",249,"NAN",0
"2018-12-30 00:00:00",250,"NAN",0
"2018-12-30 01:00:00",251,"NAN",0
"2018-12-30 02:00:00",252,"NAN",0
"2018-12-30 03:00:00",253,"NAN",0
"2018-12-30 04:00:00",254,"NAN",0
"2018-12-30 05:00:00",255,"NAN",0
"2018-12-30 06:00:00",256,"NAN",0
"2018-12-30 07:00:00",257,"NAN",0
"2018-12-30 08:00:00",258,"NAN",0
