"TOA5","S6111","CR2xx","27360","CR200X.Std.04","Sxxxx V1_09 test NPHK_P2_DYL_P2.CR2","56011","DYL_test_p2b_2"
"TIMESTAMP","RECORD","Perm_3_Avg","Period_3_Avg","VR_3_Avg"
"TS","RN","","",""
"","","Avg","Avg","Avg"
"2018-01-18 18:00:00",1155,37.22975,2.0695,1.492317
"2018-01-18 19:00:00",1156,37.22978,2.0695,1.4922
"2018-01-18 20:00:00",1157,37.22978,2.0695,1.4926
"2018-01-18 21:00:00",1158,37.22978,2.0695,1.492183
"2018-01-18 22:00:00",1159,37.2298,2.0695,1.493117
"2018-01-18 23:00:00",1160,37.2298,2.0695,1.492917
"2018-01-19 00:00:00",1161,37.19534,2.06895,1.493083
"2018-01-19 01:00:00",1162,37.1609,2.0684,1.49285
"2018-01-19 02:00:00",1163,37.1609,2.0684,1.492967
"2018-01-19 03:00:00",1164,37.1609,2.0684,1.493283
"2018-01-19 04:00:00",1165,37.1609,2.0684,1.49195
"2018-01-19 05:00:00",1166,37.1609,2.0684,1.4928
"2018-01-19 06:00:00",1167,37.1609,2.0684,1.491767
"2018-01-19 07:00:00",1168,37.1609,2.0684,1.492167
"2018-01-19 08:00:00",1169,37.1609,2.0684,1.491933
"2018-01-19 09:00:00",1170,37.12645,2.06785,1.49155
"2018-01-19 10:00:00",1171,37.092,2.0673,1.491733
"2018-01-19 11:00:00",1172,37.092,2.0673,1.491683
"2018-01-19 12:00:00",1173,37.092,2.0673,1.49145
"2018-01-19 13:00:00",1174,37.092,2.0673,1.491117
"2018-01-19 14:00:00",1175,37.092,2.0673,1.4912
"2018-01-19 15:00:00",1176,37.092,2.0673,1.490983
"2018-01-19 16:00:00",1177,37.092,2.0673,1.491567
"2018-01-19 17:00:00",1178,37.092,2.0673,1.49175
"2018-01-19 18:00:00",1179,37.092,2.0673,1.492033
"2018-01-19 19:00:00",1180,37.092,2.0673,1.49215
"2018-01-19 20:00:00",1181,37.02325,2.0662,1.4926
"2018-01-19 21:00:00",1182,37.02327,2.0662,1.492683
"2018-01-19 22:00:00",1183,37.02327,2.0662,1.4924
"2018-01-19 23:00:00",1184,37.02323,2.0662,1.492667
"2018-01-20 00:00:00",1185,37.0233,2.0662,1.491717
"2018-01-20 01:00:00",1186,37.02328,2.0662,1.49195
"2018-01-20 02:00:00",1187,37.0233,2.0662,1.491583
"2018-01-20 03:00:00",1188,37.02328,2.0662,1.49155
"2018-01-20 04:00:00",1189,37.02328,2.0662,1.491833
"2018-01-20 05:00:00",1190,37.02328,2.0662,1.491833
"2018-01-20 06:00:00",1191,37.00037,2.0658,1.492083
"2018-01-20 07:00:00",1192,36.95453,2.065,1.492467
"2018-01-20 08:00:00",1193,36.95459,2.065,1.49185
"2018-01-20 09:00:00",1194,36.95452,2.065,1.492633
"2018-01-20 10:00:00",1195,36.95452,2.065,1.492483
"2018-01-20 11:00:00",1196,36.95448,2.065,1.493267
"2018-01-20 12:00:00",1197,36.9545,2.065,1.493467
"2018-01-20 13:00:00",1198,36.9545,2.065,1.493283
"2018-01-20 14:00:00",1199,36.9545,2.065,1.493883
"2018-01-20 15:00:00",1200,36.9545,2.065,1.493267
"2018-01-20 16:00:00",1201,36.95448,2.065,1.4933
"2018-01-20 17:00:00",1202,36.9545,2.065,1.49365
"2018-01-20 18:00:00",1203,36.95447,2.065,1.49405
"2018-01-20 19:00:00",1204,36.95448,2.065,1.493867
"2018-01-20 20:00:00",1205,36.95446,2.065,1.494267
"2018-01-20 21:00:00",1206,36.95445,2.065,1.494583
"2018-01-20 22:00:00",1207,36.95446,2.065,1.4945
"2018-01-20 23:00:00",1208,36.95447,2.065,1.49445
"2018-01-21 00:00:00",1209,36.95442,2.065,1.495517
"2018-01-21 01:00:00",1210,36.8971,2.064083,1.496233
"2018-01-21 02:00:00",1211,36.88567,2.0639,1.4957
"2018-01-21 03:00:00",1212,36.88568,2.0639,1.495717
"2018-01-21 04:00:00",1213,36.88568,2.0639,1.495367
"2018-01-21 05:00:00",1214,36.88567,2.0639,1.495783
"2018-01-21 06:00:00",1215,36.88568,2.0639,1.495867
"2018-01-21 07:00:00",1216,36.88563,2.0639,1.49645
"2018-01-21 08:00:00",1217,36.8856,2.0639,1.496617
"2018-01-21 09:00:00",1218,36.88559,2.0639,1.496817
"2018-01-21 10:00:00",1219,36.88562,2.0639,1.496717
"2018-01-21 11:00:00",1220,36.88557,2.0639,1.49725
"2018-01-21 12:00:00",1221,36.88559,2.0639,1.49705
"2018-01-21 13:00:00",1222,36.88553,2.0639,1.497533
"2018-01-21 14:00:00",1223,36.88557,2.0639,1.49755
"2018-01-21 15:00:00",1224,36.88555,2.0639,1.497633
"2018-01-21 16:00:00",1225,36.88555,2.0639,1.49765
"2018-01-21 17:00:00",1226,36.87405,2.063717,1.4982
"2018-01-21 18:00:00",1227,36.81683,2.0628,1.498
"2018-01-21 19:00:00",1228,36.81675,2.0628,1.498517
"2018-01-21 20:00:00",1229,36.81675,2.0628,1.4986
"2018-01-21 21:00:00",1230,36.81675,2.0628,1.499
"2018-01-21 22:00:00",1231,36.81659,2.0628,1.5004
"2018-01-21 23:00:00",1232,36.81667,2.0628,1.499483
"2018-01-22 00:00:00",1233,36.81672,2.0628,1.499117
"2018-01-22 01:00:00",1234,36.81662,2.0628,1.500033
"2018-01-22 02:00:00",1235,36.8166,2.0628,1.500017
"2018-01-22 03:00:00",1236,36.81663,2.0628,1.499967
"2018-01-22 04:00:00",1237,36.81662,2.0628,1.500133
"2018-01-22 05:00:00",1238,36.81659,2.0628,1.500517
"2018-01-22 06:00:00",1239,36.8166,2.0628,1.500233
"2018-01-22 07:00:00",1240,36.81655,2.0628,1.500717
"2018-01-22 08:00:00",1241,36.81653,2.0628,1.500867
"2018-01-22 09:00:00",1242,36.81648,2.0628,1.501317
"2018-01-22 10:00:00",1243,36.81657,2.0628,1.5006
"2018-01-22 11:00:00",1244,36.81653,2.0628,1.500917
"2018-01-22 12:00:00",1245,36.81647,2.0628,1.501417
"2018-01-22 13:00:00",1246,36.81644,2.0628,1.501867
"2018-01-22 14:00:00",1247,36.81638,2.0628,1.50245
"2018-01-22 15:00:00",1248,36.81642,2.0628,1.50195
"2018-01-22 16:00:00",1249,36.81635,2.0628,1.5026
"2018-01-22 17:00:00",1250,36.81639,2.0628,1.5025
"2018-01-22 18:00:00",1251,36.81633,2.0628,1.502667
"2018-01-22 19:00:00",1252,36.80482,2.0626,1.50325
"2018-01-22 20:00:00",1253,36.74757,2.0616,1.503233
"2018-01-22 21:00:00",1254,36.7475,2.0616,1.5038
"2018-01-22 22:00:00",1255,36.74763,2.0616,1.50285
"2018-01-22 23:00:00",1256,36.74748,2.0616,1.503767
"2018-01-23 00:00:00",1257,36.74753,2.0616,1.503267
"2018-01-23 01:00:00",1258,36.74757,2.0616,1.5032
"2018-01-23 02:00:00",1259,36.74759,2.0616,1.50295
"2018-01-23 03:00:00",1260,36.74765,2.0616,1.502617
"2018-01-23 04:00:00",1261,36.74771,2.0616,1.502133
"2018-01-23 05:00:00",1262,36.702,2.060867,1.501817
"2018-01-23 06:00:00",1263,36.67902,2.0605,1.502517
"2018-01-23 07:00:00",1264,36.67912,2.0605,1.501733
"2018-01-23 08:00:00",1265,36.67921,2.0605,1.501067
"2018-01-23 09:00:00",1266,36.67908,2.0605,1.501817
"2018-01-23 10:00:00",1267,36.67923,2.0605,1.500916
"2018-01-23 11:00:00",1268,36.67925,2.0605,1.50065
"2018-01-23 12:00:00",1269,36.67925,2.0605,1.500783
"2018-01-23 13:00:00",1270,36.6792,2.0605,1.50095
"2018-01-23 14:00:00",1271,36.67921,2.0605,1.500933
"2018-01-23 15:00:00",1272,36.65638,2.060133,1.500767
"2018-01-23 16:00:00",1273,36.61047,2.0594,1.501967
"2018-01-23 17:00:00",1274,36.61052,2.0594,1.501667
"2018-01-23 18:00:00",1275,36.61052,2.0594,1.501817
"2018-01-23 19:00:00",1276,36.61047,2.0594,1.502133
"2018-01-23 20:00:00",1277,36.6103,2.0594,1.503283
"2018-01-23 21:00:00",1278,36.61042,2.0594,1.502334
"2018-01-23 22:00:00",1279,36.61038,2.0594,1.50265
"2018-01-23 23:00:00",1280,36.61033,2.0594,1.502867
"2018-01-24 00:00:00",1281,36.61033,2.0594,1.5028
"2018-01-24 01:00:00",1282,36.61045,2.0594,1.50235
"2018-01-24 02:00:00",1283,36.61033,2.0594,1.5029
"2018-01-24 03:00:00",1284,36.61043,2.0594,1.502233
"2018-01-24 04:00:00",1285,36.61038,2.0594,1.502633
"2018-01-24 05:00:00",1286,36.6104,2.0594,1.502417
"2018-01-24 06:00:00",1287,36.61057,2.0594,1.501433
"2018-01-24 07:00:00",1288,36.61042,2.0594,1.502517
"2018-01-24 08:00:00",1289,36.57626,2.0588,1.501633
"2018-01-24 09:00:00",1290,36.54185,2.0582,1.50245
"2018-01-24 10:00:00",1291,36.54188,2.0582,1.50225
"2018-01-24 11:00:00",1292,36.54183,2.0582,1.502483
"2018-01-24 12:00:00",1293,36.5419,2.0582,1.5022
"2018-01-24 13:00:00",1294,36.5418,2.0582,1.502667
"2018-01-24 14:00:00",1295,36.54181,2.0582,1.5029
"2018-01-24 15:00:00",1296,36.54174,2.0582,1.503167
"2018-01-24 16:00:00",1297,36.54168,2.0582,1.503483
"2018-01-24 17:00:00",1298,36.54152,2.0582,1.504333
"2018-01-24 18:00:00",1299,36.54153,2.0582,1.504417
"2018-01-24 19:00:00",1300,36.54152,2.0582,1.504333
"2018-01-24 20:00:00",1301,36.54145,2.0582,1.504667
"2018-01-24 21:00:00",1302,36.54152,2.0582,1.504483
"2018-01-24 22:00:00",1303,36.54152,2.0582,1.504517
"2018-01-24 23:00:00",1304,36.54145,2.0582,1.504783
"2018-01-25 00:00:00",1305,36.54158,2.0582,1.50405
"2018-01-25 01:00:00",1306,36.5414,2.0582,1.50505
"2018-01-25 02:00:00",1307,36.5415,2.0582,1.5045
"2018-01-25 03:00:00",1308,36.54163,2.0582,1.503817
"2018-01-25 04:00:00",1309,36.54162,2.0582,1.50385
"2018-01-25 05:00:00",1310,36.51878,2.057833,1.503767
"2018-01-25 06:00:00",1311,36.47315,2.0571,1.503633
"2018-01-25 07:00:00",1312,36.47319,2.0571,1.503467
"2018-01-25 08:00:00",1313,36.47313,2.0571,1.503767
"2018-01-25 09:00:00",1314,36.47322,2.0571,1.503167
"2018-01-25 10:00:00",1315,36.47322,2.0571,1.503217
"2018-01-25 11:00:00",1316,36.47318,2.0571,1.503383
"2018-01-25 12:00:00",1317,36.47325,2.0571,1.5031
"2018-01-25 13:00:00",1318,36.47308,2.0571,1.504017
"2018-01-25 14:00:00",1319,36.47323,2.0571,1.503217
"2018-01-25 15:00:00",1320,36.47308,2.0571,1.503883
"2018-01-25 16:00:00",1321,36.47313,2.0571,1.5037
"2018-01-25 17:00:00",1322,36.47298,2.0571,1.504383
"2018-01-25 18:00:00",1323,36.47295,2.0571,1.5048
"2018-01-25 19:00:00",1324,36.47285,2.0571,1.505217
"2018-01-25 20:00:00",1325,36.47292,2.0571,1.504767
"2018-01-25 21:00:00",1326,36.47277,2.0571,1.5055
"2018-01-25 22:00:00",1327,36.47285,2.0571,1.505167
"2018-01-25 23:00:00",1328,36.47282,2.0571,1.505383
"2018-01-26 00:00:00",1329,36.47287,2.0571,1.505117
"2018-01-26 01:00:00",1330,36.47282,2.0571,1.50535
"2018-01-26 02:00:00",1331,36.47274,2.0571,1.50575
"2018-01-26 03:00:00",1332,36.47282,2.0571,1.505417
