"TOA5","CR200 Series","CR200X","27356","CR200X.Std.04","Sxxxx V1_10 NPHK_P2.CR2","16450","Informatie"
"TIMESTAMP","RECORD","Service_mode"
"TS","RN",""
"","","Smp"
"2017-11-15 22:00:00",0,7
"2017-11-15 20:30:00",1,7
"2017-11-15 21:00:00",2,8
"2017-11-17 09:30:00",3,7
