"TOA5","CR200 Series","CR200X","27364","CR200X.Std.04","Sxxxx V1_09 test DB_3&2.CR2","6471","Informatie"
"TIMESTAMP","RECORD","Service_mode"
"TS","RN",""
"","","Smp"
"2017-12-01 16:50:00",0,7
"2017-12-01 17:00:00",1,8
